Onset Time	Offset Time	Midi Pitch
1.17	1.38	65
1.18	1.42	69
1.19	2.75	72
1.19	1.46	60
1.74	2.72	60
2.78	2.89	62
2.79	3.13	74
2.80	2.90	65
2.81	2.88	70
3.15	3.46	72
3.17	3.26	69
3.47	3.56	65
3.48	3.55	62
3.51	3.77	70
3.92	4.00	68
3.98	5.06	71
4.03	5.06	69
5.13	5.25	70
5.16	5.24	61
5.16	5.26	74
5.16	5.24	65
5.25	5.84	77
6.60	6.69	65
6.61	6.70	60
6.61	8.14	72
6.63	6.71	69
6.84	7.97	60
8.18	8.57	74
8.18	8.29	70
8.19	8.31	62
8.20	8.28	65
8.59	8.67	69
8.60	8.67	65
8.61	8.69	60
8.61	8.89	72
8.90	8.99	62
8.90	9.25	70
8.91	8.99	65
9.37	9.45	68
9.48	9.92	72
9.49	10.27	69
10.68	11.05	77
11.05	11.13	74
11.14	11.46	70
11.58	12.05	72
11.58	11.77	69
