Onset Time	Offset Time	Midi Pitch
2.67	2.75	65
2.67	2.76	70
2.68	2.78	77
2.68	2.78	74
2.84	2.89	70
2.84	2.93	74
2.84	3.15	77
2.84	2.91	65
3.20	3.30	74
3.21	3.26	65
3.21	3.26	70
3.22	3.57	77
3.81	3.88	70
3.82	3.89	74
3.82	3.90	65
3.82	4.19	77
4.32	4.41	74
4.33	4.69	77
4.33	4.41	70
4.34	4.43	65
4.84	4.93	70
4.85	4.92	65
4.85	4.94	74
4.87	5.24	77
5.32	5.42	70
5.33	5.45	74
5.34	5.41	65
5.34	5.72	77
5.72	5.81	70
5.73	5.82	74
5.74	6.08	77
5.75	5.81	65
6.09	6.15	70
6.10	6.17	65
6.11	6.20	74
6.12	6.34	77
6.35	6.54	75
6.53	6.82	72
6.88	6.97	71
6.96	7.09	72
7.11	7.23	71
7.27	7.49	65
7.60	7.82	65
7.92	8.01	63
8.00	8.08	59
