Onset Time	Offset Time	Midi Pitch
0.00	86494000.00	-36
1.00	56508000.00	-36
1.00	549930000.00	-36
1.00	933060000.00	-24
2.00	432290000.00	-24
2.00	786390000.00	-17
3.00	181130000.00	-17
3.00	430730000.00	-12
4.00	376940000.00	-12
4.00	783310000.00	-9
5.00	59601000.00	-9
5.00	880450000.00	-5
6.00	379680000.00	-3
7.00	505830000.00	-3
7.00	970230000.00	-0
8.00	695870000.00	-0
9.00	96417000.00	2
9.00	531770000.00	3
10.00	460570000.00	3
10.00	826300000.00	5
11.00	766690000.00	7
12.00	236920000.00	7
12.00	794200000.00	7
13.00	8979600.00	9
