Onset Time	Offset Time	Midi Pitch
0.42	0.79	74
0.42	0.57	62
0.44	0.59	71
0.44	0.54	67
0.81	0.89	67
0.81	0.90	71
0.82	1.04	74
0.83	0.94	62
1.14	1.46	62
1.14	1.25	72
1.15	1.27	68
1.15	1.26	66
1.21	1.46	76
1.39	1.49	72
1.39	1.49	69
1.40	1.49	66
1.52	1.61	72
1.53	1.62	66
1.53	1.62	69
1.54	1.75	62
1.55	1.81	76
1.75	1.82	69
1.76	1.83	72
1.76	1.81	66
1.87	2.12	62
1.87	1.95	69
1.88	1.96	66
1.89	1.97	72
1.91	2.17	76
2.07	2.19	72
2.07	2.18	66
2.08	2.16	69
2.25	2.35	69
2.26	2.37	66
2.27	2.35	72
2.27	2.55	62
2.29	2.61	76
2.47	2.60	72
2.49	2.59	69
2.50	2.61	66
2.64	2.85	62
2.64	2.78	72
2.64	2.76	69
2.64	2.75	66
2.66	2.96	76
2.89	3.00	66
2.91	2.99	72
2.91	2.98	69
3.00	3.38	76
3.02	3.11	72
3.03	3.13	66
3.03	3.10	69
3.36	3.45	71
3.36	3.75	74
3.37	3.46	67
3.37	3.47	62
3.47	3.72	59
3.56	3.71	71
3.62	3.71	62
3.62	3.74	67
3.75	3.84	62
3.76	3.95	71
3.77	4.01	59
3.77	3.85	67
3.77	4.09	74
4.07	4.17	59
4.07	4.18	62
4.09	4.17	67
4.10	4.22	71
4.11	4.45	74
4.37	4.59	62
4.37	4.60	67
4.39	4.60	71
4.45	4.79	59
4.49	4.83	74
4.81	4.98	67
4.82	4.98	71
4.84	5.05	59
4.84	4.94	62
4.86	5.22	74
5.20	5.34	62
5.21	5.35	59
5.21	5.34	67
5.21	5.34	71
5.24	5.57	74
5.43	5.50	59
5.43	5.56	62
5.46	5.58	71
5.46	5.55	67
5.58	5.68	69
5.59	5.73	66
5.60	5.71	72
5.62	6.01	76
5.83	5.97	66
5.84	5.95	69
5.84	5.96	72
6.00	6.12	69
6.01	6.11	72
6.02	6.35	76
6.21	6.34	69
6.22	6.31	66
6.26	6.34	72
6.35	6.46	66
6.36	6.47	72
6.36	6.46	69
6.37	6.71	76
6.56	6.67	66
6.56	6.68	69
6.58	6.67	72
6.74	7.14	76
6.74	6.82	66
6.75	6.85	69
6.76	6.83	72
6.99	7.09	66
6.99	7.10	69
7.02	7.09	72
7.16	7.25	66
7.17	7.27	69
7.17	7.27	72
7.18	7.55	76
7.55	7.66	69
7.56	7.68	72
7.56	7.65	66
7.57	7.93	76
7.91	8.00	71
7.91	8.02	67
7.91	8.24	74
7.92	8.00	62
8.27	8.39	71
8.27	8.37	62
8.28	8.39	67
8.29	8.65	74
8.67	8.78	71
8.67	8.78	67
8.67	8.75	62
8.68	9.05	74
9.03	9.17	71
9.04	9.18	67
9.04	9.13	62
9.07	9.50	74
9.37	9.50	62
9.41	9.51	67
9.42	9.53	71
9.54	9.61	66
9.55	9.67	69
9.56	10.20	72
10.07	10.31	62
10.09	10.52	69
10.12	10.34	66
10.12	10.37	57
