Onset Time	Offset Time	Midi Pitch
0.90	1.20	69
1.22	1.44	72
1.55	1.62	75
1.64	1.70	75
1.73	3.43	76
3.44	3.56	76
3.58	3.67	75
3.68	3.77	75
3.73	3.82	72
4.20	4.55	76
4.58	4.91	74
4.94	5.29	72
5.26	5.57	69
5.59	5.69	59
5.61	5.71	71
5.62	5.68	62
5.62	5.71	67
5.80	6.15	71
6.20	6.44	62
6.21	7.53	69
6.21	6.49	66
6.22	7.49	57
7.54	7.87	62
7.55	7.89	67
7.56	7.87	59
7.57	7.86	55
7.92	8.06	66
7.93	8.08	69
7.93	8.10	62
7.94	8.09	57
8.18	8.28	61
8.30	8.59	60
8.62	9.11	69
8.62	9.10	57
9.13	9.19	68
9.20	9.28	68
9.31	11.64	55
9.32	11.70	67
