Onset Time	Offset Time	Midi Pitch
0.85	1.37	62
0.85	1.04	59
0.93	1.04	55
1.41	1.52	59
1.42	1.52	55
1.43	1.77	62
2.09	2.18	59
2.09	2.19	62
2.09	2.18	55
2.30	2.40	55
2.31	2.42	59
2.33	2.69	62
2.74	2.86	62
2.75	2.84	59
2.76	2.86	55
2.94	3.05	55
2.96	3.30	62
2.96	3.04	59
3.36	3.47	59
3.36	3.68	62
3.37	3.49	55
3.93	4.40	50
4.00	4.12	59
4.02	4.15	62
4.05	4.14	55
4.22	4.34	59
4.23	4.58	62
4.23	4.35	55
4.65	4.75	59
4.65	4.78	55
4.65	4.82	62
4.97	5.05	65
5.04	5.42	66
5.37	5.80	69
5.92	6.08	62
5.93	6.09	59
5.94	6.09	55
6.22	6.33	59
6.22	6.31	55
6.22	6.59	62
6.62	6.75	55
6.64	6.73	59
6.65	6.94	62
7.26	7.37	62
7.26	7.39	59
7.28	7.41	55
7.51	7.57	59
7.51	7.84	62
7.53	7.59	55
7.93	8.01	62
7.93	8.03	59
7.93	8.02	55
8.16	8.25	55
8.17	8.25	59
8.19	8.48	62
8.56	8.92	62
8.57	8.70	55
8.58	8.71	59
9.20	9.34	59
9.23	9.35	62
9.23	9.35	55
9.44	9.55	59
9.44	9.54	55
9.45	9.82	62
9.84	10.00	62
9.85	9.97	59
9.86	9.99	55
10.12	10.19	64
10.18	10.24	65
10.25	10.49	66
10.52	10.65	57
10.52	10.62	66
10.52	10.63	62
10.55	10.79	69
10.78	11.13	71
11.18	11.30	62
11.19	11.31	67
11.19	11.31	71
11.20	12.55	74
