Onset Time	Offset Time	Midi Pitch
0.31	0.61	86
0.62	0.71	85
0.71	0.88	85
0.89	0.94	85
0.94	1.14	86
1.21	1.53	86
1.55	1.62	86
1.62	1.90	85
1.89	1.94	85
1.93	2.08	86
2.23	2.56	86
2.55	3.57	84
3.63	4.21	91
4.21	4.51	89
4.54	4.99	86
5.00	5.29	85
5.29	5.42	85
5.40	5.58	86
5.54	5.94	83
5.94	6.18	82
6.17	6.51	83
6.45	7.51	79
7.80	8.25	79
8.18	8.51	83
8.49	8.82	86
8.96	9.30	91
9.29	9.36	89
9.36	9.58	89
9.60	9.68	85
9.68	9.80	86
9.90	10.38	86
10.36	10.45	85
10.45	10.69	85
10.69	10.99	83
11.08	11.43	91
11.39	11.49	86
11.43	11.59	83
