Onset Time	Offset Time	Midi Pitch
0.33	0.47	60
0.52	0.62	61
0.63	0.84	62
0.89	0.98	62
1.05	1.50	65
1.43	1.51	60
1.57	2.05	67
2.05	2.12	68
2.11	2.51	69
2.52	2.60	65
2.52	2.61	62
2.53	2.84	70
2.88	3.23	72
3.23	3.46	72
3.31	3.50	69
3.32	3.45	60
3.52	3.58	65
3.53	3.60	62
3.53	3.79	70
3.83	3.91	69
3.84	4.03	72
4.01	4.20	68
4.20	4.25	67
4.24	4.35	66
4.34	4.49	65
4.34	4.50	60
4.54	4.81	62
4.86	4.98	58
4.87	4.98	62
5.06	5.46	65
5.56	6.00	67
6.02	6.06	68
6.07	6.46	69
6.51	6.58	62
6.51	6.56	65
6.52	6.78	70
6.85	6.96	71
6.96	7.01	71
7.01	7.28	72
7.31	7.43	65
7.31	7.43	72
7.32	7.44	69
7.49	7.75	70
7.82	8.00	72
7.96	8.03	68
8.04	8.13	68
8.13	8.18	68
8.18	8.27	67
8.30	8.42	60
8.46	8.55	61
8.56	8.76	62
8.79	8.89	58
8.79	8.92	62
8.96	9.06	59
8.97	9.05	64
9.04	9.40	65
9.30	9.41	60
9.44	9.52	61
9.52	9.77	62
9.81	9.90	58
9.82	9.93	62
9.98	10.03	64
10.03	10.25	65
10.31	10.78	62
