Onset Time	Offset Time	Midi Pitch
2.08	2.27	65
2.31	2.37	67
2.40	2.54	69
2.55	2.74	72
2.72	2.93	74
2.95	3.24	75
3.19	3.36	72
3.40	3.62	74
3.62	3.72	65
3.63	3.72	69
3.65	4.34	72
4.87	4.93	67
4.96	5.10	69
5.11	5.34	72
5.37	5.59	75
5.55	5.79	72
5.80	6.00	74
6.05	6.35	72
6.43	6.63	70
6.74	6.82	67
6.82	6.86	68
6.87	7.08	69
7.16	7.33	72
7.36	7.49	62
7.36	7.44	65
7.37	7.66	74
7.38	7.47	70
7.84	8.58	65
9.05	9.17	60
9.06	9.21	65
9.33	9.74	65
9.35	9.38	60
9.80	9.90	60
9.80	9.90	65
10.06	10.13	60
10.09	10.39	65
10.46	10.55	57
10.48	10.71	62
10.77	11.09	65
11.15	11.34	62
11.16	11.23	58
11.46	11.81	60
11.93	12.06	60
