Onset Time	Offset Time	Midi Pitch
0.87	1.14	71
0.88	1.12	67
0.89	1.05	62
0.89	1.11	74
1.25	1.32	62
1.25	1.38	71
1.25	1.37	67
1.26	1.40	74
1.41	1.52	71
1.42	1.60	67
1.43	1.60	74
1.43	1.51	62
1.82	2.00	67
1.82	2.01	72
1.83	1.97	64
1.83	1.96	60
2.02	2.24	71
2.03	2.13	62
2.03	2.24	67
2.04	2.21	74
2.36	2.49	67
2.37	2.52	74
2.37	2.49	71
2.38	2.48	62
2.53	2.69	64
2.53	2.65	60
2.54	2.69	72
2.54	2.68	67
2.96	3.09	67
2.96	3.06	64
2.97	3.09	60
2.97	3.08	72
3.14	3.24	62
3.14	3.24	67
3.15	3.29	74
3.16	3.27	71
3.50	3.63	71
3.50	3.63	74
3.51	3.61	62
3.51	3.61	67
3.66	3.81	64
3.68	4.01	76
3.69	3.95	72
3.70	3.86	67
4.03	4.16	67
4.04	4.16	72
4.05	4.14	64
4.06	4.22	76
4.22	4.37	71
4.23	4.45	74
4.24	4.52	77
4.25	4.35	67
4.59	4.74	67
4.59	4.74	71
4.60	4.76	77
4.60	4.73	74
4.77	4.84	64
4.77	4.98	72
4.77	4.95	67
4.78	4.98	76
5.14	5.25	72
5.14	5.23	64
5.15	5.26	67
5.15	5.33	76
5.32	5.44	67
5.33	5.46	71
5.33	5.52	77
5.33	5.44	74
5.71	5.83	71
5.71	5.84	67
5.71	5.85	74
5.71	5.83	77
5.88	6.01	64
5.88	6.07	72
5.88	6.13	76
5.89	6.02	67
6.24	6.37	72
6.25	6.41	76
6.26	6.38	64
6.26	6.39	67
6.44	6.51	62
6.44	6.68	71
6.44	6.57	74
6.45	6.60	67
6.79	6.91	67
6.79	6.90	71
6.80	6.88	62
6.80	6.88	74
6.92	7.08	74
6.92	7.02	62
6.92	7.12	67
6.92	7.01	71
7.32	7.46	67
7.33	7.41	64
7.34	7.47	72
7.35	7.45	60
7.51	7.73	77
7.51	7.71	71
7.52	7.68	74
7.52	7.62	67
7.85	8.02	74
7.87	7.99	67
7.87	8.01	71
7.87	8.03	77
8.04	8.19	67
8.05	8.15	64
8.05	8.24	72
8.06	8.28	76
8.40	8.49	64
8.40	8.55	67
8.41	8.53	72
8.41	8.58	76
8.58	8.71	62
8.59	8.72	71
8.59	8.76	74
8.60	8.74	67
8.95	9.10	74
8.95	9.06	67
8.95	9.06	71
8.96	9.08	62
9.10	9.27	60
9.11	9.30	72
9.11	9.26	63
9.13	9.29	67
9.49	9.61	72
9.49	9.60	67
9.50	9.62	60
9.50	9.59	64
9.69	9.87	67
9.69	9.88	71
9.69	9.75	62
9.70	9.90	74
10.11	10.26	67
10.11	10.25	74
10.11	10.23	71
10.12	10.23	62
10.25	10.43	72
10.28	10.43	76
10.30	10.42	67
10.31	10.45	64
10.63	10.74	67
10.63	10.74	64
10.65	10.74	72
10.65	10.77	76
10.82	11.87	62
10.83	11.86	67
10.83	11.87	71
10.84	11.88	74
11.92	13.75	72
11.94	13.72	64
11.95	13.76	67
11.96	13.74	76
13.77	13.85	64
13.77	13.88	72
13.78	13.86	67
13.78	13.99	76
