Onset Time	Offset Time	Midi Pitch
0.83	1.34	62
0.85	1.06	57
1.43	1.48	61
1.48	1.68	62
1.88	1.98	57
1.89	1.94	62
2.16	2.30	61
2.31	2.44	60
2.44	2.59	57
2.71	2.77	61
2.78	2.82	60
2.85	3.02	60
3.29	3.35	62
3.30	3.35	57
3.35	3.62	62
3.72	3.88	62
3.91	4.13	55
3.93	4.12	62
3.96	4.15	59
4.16	4.34	57
4.49	4.58	61
4.59	4.65	60
4.65	5.00	60
5.08	5.18	55
5.09	5.20	59
5.68	5.75	57
5.69	5.76	61
5.75	6.04	62
5.98	6.07	57
6.15	6.19	61
6.20	6.49	62
6.36	6.50	57
6.55	6.74	57
6.85	7.12	60
7.14	7.27	57
7.17	7.27	62
7.39	7.47	61
7.48	7.54	60
7.56	7.68	60
7.67	7.88	57
7.97	8.03	61
8.03	8.34	62
8.26	8.29	58
8.27	8.31	55
8.41	8.54	62
8.59	8.74	55
8.62	8.78	59
8.85	9.03	57
9.19	9.29	61
9.30	9.58	60
9.60	9.67	60
9.73	9.84	58
9.75	9.83	62
9.76	9.85	55
