Onset Time	Offset Time	Midi Pitch
1.29	1.43	65
1.47	1.54	67
1.55	1.71	68
1.70	1.88	72
1.87	2.17	74
2.17	2.34	77
2.40	2.51	77
2.60	2.74	77
2.82	2.96	77
3.00	3.09	77
3.14	3.32	77
3.41	3.64	77
3.81	4.03	65
4.10	4.14	67
4.17	4.40	68
4.37	4.50	72
4.57	4.86	74
4.85	5.03	77
5.07	5.23	77
5.26	5.45	77
5.50	5.71	77
5.74	5.87	77
5.91	6.10	77
6.18	6.33	77
6.36	6.62	62
6.41	6.80	65
6.83	6.90	67
6.89	7.09	68
7.07	7.24	72
7.24	7.34	62
7.24	7.31	65
7.25	7.32	70
7.29	7.55	74
7.43	7.54	70
7.43	7.56	65
7.44	7.54	62
7.57	7.75	77
7.74	8.03	74
7.76	8.05	62
7.77	8.21	65
7.77	8.06	70
8.00	8.24	77
8.25	8.32	67
8.33	8.49	68
8.51	8.66	72
8.66	8.74	70
8.67	8.77	65
8.67	8.79	62
8.68	8.96	74
8.88	9.00	70
8.88	8.96	62
8.89	9.01	65
8.99	9.17	77
9.17	9.43	74
9.18	9.45	65
9.18	9.39	70
9.40	9.60	77
9.67	9.71	67
9.71	9.96	68
9.92	10.08	72
10.11	10.41	74
10.33	10.45	70
10.33	10.43	65
10.35	10.43	62
10.39	12.32	77
