Onset Time	Offset Time	Midi Pitch
1.66	1.72	68
1.72	1.99	71
1.73	2.02	69
2.39	2.92	70
2.40	2.62	65
2.45	2.62	62
2.92	3.01	62
2.93	3.01	65
2.93	3.17	70
3.28	3.38	67
3.43	3.58	69
3.73	4.06	65
4.12	4.20	60
4.12	4.18	69
4.13	4.27	65
4.32	4.38	64
4.39	4.71	65
4.75	4.79	61
4.81	5.02	62
5.05	5.14	58
5.06	5.16	65
5.06	5.15	62
5.24	5.33	67
5.34	5.38	68
5.39	5.63	69
5.66	5.76	62
5.67	5.75	65
5.67	5.78	70
6.00	6.25	70
6.10	6.19	62
6.11	6.22	65
6.31	6.54	70
6.52	6.64	62
6.52	6.63	65
6.56	6.81	70
6.88	6.94	67
6.95	7.04	68
7.06	7.22	68
7.24	7.86	69
8.72	8.81	68
8.82	9.14	69
9.44	10.01	70
9.49	9.69	65
9.49	9.72	62
10.05	10.30	70
10.05	10.14	65
10.06	10.15	62
10.37	10.45	67
10.45	10.53	68
10.52	10.71	69
10.82	10.86	64
10.88	11.14	65
11.22	11.31	65
11.22	11.29	69
11.23	11.31	60
11.42	11.48	64
11.48	11.79	65
11.84	11.90	61
11.91	12.05	62
