Onset Time	Offset Time	Midi Pitch
0.59	0.75	57
0.61	0.74	62
0.77	0.81	57
0.77	1.10	62
1.12	1.20	57
1.13	1.21	62
1.28	1.31	57
1.29	1.64	62
1.67	2.04	55
1.72	2.08	62
1.72	2.07	59
2.25	2.30	64
2.32	2.64	66
2.65	3.07	67
2.68	2.96	55
2.70	3.02	59
2.73	3.03	62
3.16	3.86	68
3.87	3.93	68
3.93	4.18	69
4.19	4.29	68
4.27	4.38	62
4.28	4.40	66
4.30	4.43	57
4.40	4.54	63
4.42	4.84	59
4.43	4.54	55
4.93	5.33	62
5.40	5.58	62
5.41	5.56	55
5.42	5.57	59
5.70	5.81	55
5.70	5.82	59
5.71	5.83	62
5.91	5.98	65
5.98	6.29	66
6.29	6.65	59
6.30	6.64	62
6.31	6.62	55
6.82	6.87	64
6.89	7.09	66
7.12	7.16	65
7.20	7.33	63
7.33	7.59	62
7.60	7.65	61
7.68	7.83	60
7.82	8.01	57
8.05	8.32	62
8.06	8.29	57
8.31	8.72	59
8.81	8.85	61
8.87	9.23	62
9.30	9.71	62
9.30	9.70	59
9.30	9.67	55
9.84	9.88	64
9.88	10.23	66
10.28	10.68	55
10.29	10.69	59
10.40	10.71	62
10.78	11.51	68
11.53	11.58	68
11.59	11.75	69
11.75	11.78	68
11.78	11.90	68
11.85	11.95	57
11.85	11.96	66
11.86	11.97	62
