Onset Time	Offset Time	Midi Pitch
1.24	1.63	62
1.73	1.85	62
1.97	2.50	64
2.45	2.53	72
2.47	2.83	67
2.87	2.97	67
2.88	2.96	72
2.89	2.95	64
3.01	3.38	67
3.02	3.09	72
3.02	3.10	64
3.41	3.53	67
3.42	3.50	64
3.57	3.91	67
3.58	3.93	62
3.68	3.92	71
3.97	4.05	71
3.98	4.10	62
3.98	4.08	67
4.13	4.47	71
4.14	4.49	62
4.14	4.46	67
4.51	4.67	62
4.53	4.66	67
4.53	4.70	71
4.73	5.02	64
4.73	5.04	67
4.77	5.03	60
5.13	5.41	62
5.13	5.44	67
5.28	5.48	71
5.53	6.10	62
6.13	6.32	62
6.38	6.88	64
6.75	6.92	72
6.85	7.88	67
7.26	7.49	72
7.26	7.44	64
7.99	8.35	67
8.01	8.33	62
8.02	8.32	74
8.05	8.32	71
8.39	8.49	67
8.39	8.49	71
8.39	8.52	74
8.39	8.51	62
8.55	8.90	74
8.59	8.90	71
8.61	8.91	67
8.61	8.88	62
8.93	9.12	71
8.94	9.09	74
8.94	9.10	67
8.95	9.06	62
9.12	9.40	64
9.14	9.37	60
9.15	9.41	72
9.15	9.44	67
9.55	9.73	71
9.57	9.73	74
9.58	9.71	67
9.59	9.84	62
