Onset Time	Offset Time	Midi Pitch
1.05	1.14	72
1.05	1.14	67
1.25	1.29	72
1.25	1.30	67
1.26	1.47	79
1.26	1.29	76
1.55	1.59	74
1.55	1.60	71
1.55	1.60	67
1.57	1.76	77
1.80	2.70	74
1.80	1.85	71
1.80	1.85	67
3.10	3.25	67
3.11	3.25	72
3.11	3.24	64
3.30	3.37	69
3.37	3.44	70
3.72	3.89	70
3.91	4.81	67
5.20	5.30	67
5.20	5.30	64
5.20	5.30	79
5.21	5.31	72
5.41	5.49	76
5.42	5.49	64
5.42	5.50	67
5.42	5.49	72
5.46	5.68	79
5.75	5.83	74
5.75	5.83	71
5.75	5.83	67
5.87	6.05	77
5.95	6.04	67
5.96	6.04	71
5.96	6.09	62
5.96	7.04	74
6.20	7.04	62
7.35	7.50	67
7.61	7.75	70
7.96	8.18	70
8.20	8.84	67
9.49	9.69	67
9.81	9.89	70
10.26	10.35	70
10.39	11.29	67
11.66	11.80	67
11.87	12.03	70
12.26	12.54	69
12.55	12.61	70
12.61	12.80	71
12.80	12.85	70
12.86	12.99	68
