Onset Time	Offset Time	Midi Pitch
0.47	0.50	65
0.51	0.63	69
0.52	0.64	66
0.70	0.92	68
0.71	0.78	65
0.77	1.00	66
0.99	1.09	67
1.02	1.09	59
1.03	1.07	55
1.04	1.09	62
1.20	1.25	65
1.25	1.43	66
1.60	1.67	62
1.68	2.33	62
2.38	2.46	61
2.45	2.51	60
2.55	2.88	60
3.48	3.51	65
3.51	3.64	66
3.56	3.64	68
3.76	3.80	65
3.79	3.95	66
3.79	3.94	68
4.01	4.14	67
4.02	4.14	59
4.02	4.13	62
4.02	4.12	55
4.23	4.26	65
4.28	4.47	65
4.44	4.51	57
4.61	4.67	61
4.67	5.36	62
5.40	5.48	61
5.49	5.80	60
5.83	6.31	59
5.86	6.31	55
5.98	6.30	62
6.40	6.61	57
6.64	6.93	57
6.99	7.12	57
7.12	7.16	58
7.16	7.60	59
7.39	8.06	55
7.50	8.28	67
8.17	8.25	62
8.18	8.27	59
8.19	8.29	55
8.32	8.38	65
8.37	9.00	66
9.11	9.45	62
9.13	9.39	59
9.16	9.43	55
9.49	9.55	61
9.50	9.66	57
9.74	9.98	57
10.06	10.16	57
10.19	10.28	55
10.21	10.58	59
10.57	11.27	55
10.61	11.29	67
11.33	11.37	65
11.39	11.85	65
11.87	12.80	62
11.88	12.14	57
11.90	12.10	66
