Onset Time	Offset Time	Midi Pitch
0.00	632720000.00	-Inf
1.00	10045000.00	-36
1.00	381590000.00	-36
2.00	2721100.00	-24
2.00	507730000.00	-24
2.00	815400000.00	-17
3.00	14048000.00	-17
3.00	494600000.00	-17
3.00	808070000.00	-12
4.00	167980000.00	-9
5.00	42186000.00	-9
5.00	87463000.00	-5
6.00	269370000.00	-5
6.00	69893000.00	-3
7.00	93696000.00	-3
7.00	418750000.00	-3
7.00	877370000.00	-3
8.00	10957000.00	-0
8.00	359180000.00	-0
8.00	527530000.00	-0
8.00	759730000.00	-0
8.00	962900000.00	2
9.00	212520000.00	2
9.00	862680000.00	3
10.00	477980000.00	5
