Onset Time	Offset Time	Midi Pitch
0.74	0.81	62
0.75	0.81	59
0.76	0.86	55
0.76	1.16	67
1.18	1.25	59
1.19	1.24	62
1.19	1.57	67
1.20	1.27	55
1.62	1.71	59
1.63	1.68	55
1.64	1.71	67
1.64	1.86	62
1.94	2.03	65
2.05	2.20	66
2.22	2.46	65
2.50	2.71	62
2.73	2.82	55
2.75	2.80	62
2.75	2.84	67
2.77	3.00	59
3.01	3.13	55
3.04	3.11	59
3.04	3.13	62
3.07	3.48	67
3.45	3.58	55
3.48	3.58	62
3.49	3.56	59
3.53	3.85	67
3.93	3.97	62
3.93	4.01	57
3.93	3.99	66
3.95	4.19	69
4.26	4.80	65
4.84	4.99	55
4.86	4.97	59
4.87	4.99	62
5.47	5.53	61
5.54	5.82	62
5.91	6.24	62
6.32	6.49	57
6.60	6.69	61
6.70	6.90	60
6.88	7.02	57
7.12	7.20	61
7.20	7.43	60
7.45	7.63	57
7.70	7.74	57
7.71	8.06	62
8.12	8.31	62
8.30	8.51	55
8.32	8.52	62
8.32	8.50	59
8.57	8.77	57
8.87	8.96	61
8.96	9.40	60
9.46	9.98	59
9.47	9.93	55
9.48	9.98	62
