Onset Time	Offset Time	Midi Pitch
1.77	1.83	67
1.85	2.23	69
2.27	2.40	62
2.28	2.35	65
2.28	2.46	70
2.55	2.65	67
2.65	2.80	69
3.03	3.13	62
3.05	3.15	58
3.06	3.18	65
3.29	3.39	68
3.42	3.78	69
3.80	3.88	65
3.81	4.00	70
3.82	3.90	62
4.10	4.17	67
4.18	4.34	69
4.58	4.70	65
4.60	4.68	69
4.60	4.70	62
4.60	4.69	58
4.86	4.97	68
4.98	5.33	69
5.34	5.41	65
5.35	5.44	58
5.37	5.46	62
5.37	5.53	70
5.64	5.70	67
5.75	6.10	69
6.14	6.33	70
6.40	6.55	67
6.57	6.85	69
6.89	7.02	62
6.89	7.12	70
6.89	6.97	65
7.21	7.34	68
7.64	7.71	58
7.66	7.74	70
7.66	7.78	62
7.66	7.74	65
7.89	8.26	67
8.29	8.39	60
8.30	8.37	69
8.31	8.37	65
8.45	8.63	70
8.68	8.90	67
9.10	9.21	61
9.13	9.22	58
9.14	9.24	65
9.14	9.23	70
9.44	9.82	67
9.84	9.97	60
9.85	9.96	69
9.85	9.95	65
9.98	10.16	70
10.21	10.39	68
10.59	10.72	58
10.60	10.74	62
10.61	10.72	65
10.62	10.72	70
10.96	11.03	67
11.05	11.45	69
11.47	11.68	70
11.73	11.89	72
11.89	12.05	68
