Onset Time	Offset Time	Midi Pitch
1.23	1.32	71
1.33	1.36	71
1.38	1.80	72
1.84	1.93	71
1.95	2.17	72
2.36	2.52	65
2.88	2.93	67
2.94	3.04	67
3.08	3.16	68
3.16	3.26	69
3.31	3.38	67
3.41	3.56	67
3.57	3.80	69
3.58	3.83	65
3.61	3.84	60
3.77	3.97	72
4.26	4.39	65
4.61	4.68	67
4.69	4.76	68
5.07	5.18	71
5.18	5.60	72
5.61	5.72	71
5.72	5.89	72
6.19	6.34	65
6.63	6.69	67
6.72	6.96	67
6.96	7.00	68
7.00	7.10	69
7.10	7.14	68
7.17	7.36	67
7.37	7.53	65
7.37	7.54	69
7.39	7.52	60
7.56	7.70	60
7.57	7.64	65
7.57	7.66	69
7.58	7.77	72
8.06	8.25	65
8.38	8.48	67
8.50	8.60	69
8.84	8.94	71
8.96	9.35	72
9.40	9.50	71
9.50	9.67	72
9.99	10.13	65
10.44	10.72	67
10.76	10.88	68
10.90	10.98	67
10.98	11.14	67
11.14	11.27	65
11.34	11.43	69
11.34	11.44	65
11.36	11.55	72
11.84	12.01	65
12.14	12.22	67
12.27	12.35	68
12.59	12.67	71
12.69	13.10	72
13.14	13.24	71
13.24	13.36	72
13.47	13.62	74
13.62	13.71	69
13.62	13.70	60
13.62	13.70	65
13.63	13.88	72
13.88	14.05	70
13.90	14.06	65
13.90	14.02	62
13.91	14.01	58
