Onset Time	Offset Time	Midi Pitch
0.77	1.15	62
1.20	1.30	71
1.22	1.36	62
1.22	1.35	67
1.39	1.84	64
1.93	1.98	66
1.98	2.35	67
2.46	2.53	69
2.58	2.92	69
2.94	2.98	68
3.00	3.48	69
3.50	3.54	68
3.54	4.02	69
4.04	4.10	69
4.09	4.59	69
4.61	4.66	70
4.66	4.77	70
4.78	4.89	68
4.86	4.98	66
5.07	5.15	63
5.10	5.16	60
5.10	5.15	55
5.14	5.19	52
5.18	5.44	64
5.51	5.60	64
5.69	5.77	66
5.77	5.94	67
6.08	6.17	69
6.18	6.28	70
6.26	6.52	67
6.64	6.67	66
6.67	7.09	67
7.17	7.32	67
7.40	7.75	60
7.40	7.72	67
7.42	7.68	64
7.74	7.85	67
7.76	7.85	64
7.77	7.88	60
7.96	8.26	67
7.96	8.26	62
8.30	8.44	62
8.31	8.42	67
8.44	8.51	63
8.51	8.81	67
8.52	8.82	64
8.53	8.83	60
8.86	8.96	64
8.87	8.95	67
9.01	9.25	62
9.02	9.22	67
9.35	9.42	67
9.35	9.42	72
9.36	9.43	64
9.41	9.96	76
9.87	9.99	72
9.87	9.99	64
9.88	9.99	67
10.03	10.13	72
10.04	10.11	64
10.04	10.10	67
10.06	10.51	76
10.42	10.51	64
10.43	10.52	72
10.44	10.53	67
10.56	10.67	67
10.57	10.68	74
10.58	11.02	77
10.58	10.64	71
10.92	11.03	71
10.92	11.02	67
10.93	11.01	74
11.07	11.17	76
11.08	11.16	72
11.09	11.16	64
11.09	11.17	67
11.17	11.40	79
11.40	11.58	60
11.42	11.56	64
11.42	11.55	72
11.42	11.56	67
11.63	11.97	74
11.66	11.95	67
11.66	11.97	62
11.67	11.97	71
