Onset Time	Offset Time	Midi Pitch
1.62	1.69	62
1.63	1.78	57
1.63	1.72	66
1.64	1.92	69
1.84	1.93	62
1.86	1.96	59
1.86	1.95	55
1.86	2.13	67
2.27	2.44	65
2.45	2.73	66
2.79	2.92	66
2.80	2.89	62
2.81	2.90	57
2.83	3.04	69
3.04	3.07	66
3.08	3.32	67
3.47	3.61	65
3.62	3.66	65
3.68	4.01	66
4.03	4.12	66
4.03	4.22	69
4.03	4.09	62
4.03	4.10	57
4.22	4.33	55
4.22	4.33	59
4.24	4.33	62
4.24	4.46	67
4.65	4.72	62
4.66	4.79	69
4.66	4.80	57
4.68	5.20	66
5.26	5.51	69
5.27	5.34	62
5.27	5.36	66
5.27	5.33	57
5.45	5.59	59
5.46	5.58	62
5.48	5.74	67
5.85	5.95	57
5.86	5.97	62
5.86	5.99	65
5.87	5.97	69
6.09	6.17	65
6.18	6.45	66
6.49	6.58	62
6.49	6.63	66
6.49	6.59	57
6.50	6.61	69
6.69	6.77	59
6.69	6.81	67
6.70	6.77	62
6.73	6.95	71
7.14	7.20	61
7.21	7.69	62
8.12	8.22	57
8.12	8.25	62
8.12	8.25	69
8.13	8.26	65
8.37	8.63	59
8.38	8.64	71
8.77	8.85	59
8.78	8.89	71
9.02	9.46	59
9.05	9.52	71
9.49	9.89	62
10.04	10.19	66
10.04	10.18	62
10.05	10.24	69
10.05	10.16	57
10.33	10.39	66
10.34	10.65	69
10.34	10.42	62
10.35	10.63	57
10.73	11.29	57
10.75	11.31	69
